Date : 2025-10-29 01:41:54
Directory : e:\Documents\Programs\Chinese-Chess-v3
Total : 231 files,  10313 codes, 5802 comments, 2822 blanks, all 18937 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Renderers\CompositeRenderer.cs                   | C#           |         38 |         17 |          8 |         63 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Renderers\UIButtonRenderer.cs                    | C#           |         15 |         15 |          5 |         35 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Renderers\UIContainerRenderer.cs                 | C#           |         21 |         26 |         10 |         57 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Renderers\UILabelRenderer.cs                     | C#           |         78 |         23 |         18 |        119 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Renderers\UIMenuRenderer.cs                      | C#           |         73 |         11 |         15 |         99 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Renderers\UIRenderer.cs                          | C#           |         66 |         46 |         28 |        140 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Renderers\UIScrollContainerRenderer.cs           | C#           |          9 |          8 |          3 |         20 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Renderers\UITextBoxRenderer.cs                   | C#           |         69 |         10 |         13 |         92 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Dialog\ConfirmDialogOptions.cs                        | C#           |         39 |         13 |          7 |         59 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Dialog\ConfirmDialogType.cs                           | C#           |         19 |          8 |          3 |         30 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Infrastructure\DialogManager.cs                       | C#           |         46 |          8 |         10 |         64 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Infrastructure\IUiFactoryContext.cs                   | C#           |         10 |          8 |          4 |         22 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Infrastructure\NavigationManager.cs                   | C#           |         86 |         36 |         25 |        147 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Infrastructure\UIManager.cs                           | C#           |         42 |         33 |         12 |         87 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Infrastructure\UiFactory.cs                           | C#           |        143 |         73 |         42 |        258 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Input\DragHandler.cs                                  | C#           |         96 |         91 |         48 |        235 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Input\IInputHandler.cs                                | C#           |         17 |         77 |         12 |        106 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Input\IScrollInputHandler.cs                          | C#           |         29 |         73 |         15 |        117 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Input\MouseInputRouter.cs                             | C#           |        122 |        104 |         49 |        275 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Input\ScrollInputHandler.cs                           | C#           |        145 |        103 |         56 |        304 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Input\UIInputManager.cs                               | C#           |         72 |         80 |         34 |        186 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Models\UILayout.cs                                    | C#           |         16 |         65 |         10 |         91 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Models\UIPosition.cs                                  | C#           |         24 |         38 |         12 |         74 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Utils\UIElementUtils.cs                               | C#           |         34 |         25 |          9 |         68 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Widgets\ButtonEntry.cs                                | C#           |         16 |         21 |          6 |         43 |
| e:\Documents\Programs\Chinese-Chess-v3\Game\Configs\Board\BoardStyles.cs                               | C#           |         28 |          8 |          6 |         42 |
| e:\Documents\Programs\Chinese-Chess-v3\Game\Configs\Board\PieceSettings.cs                             | C#           |         21 |         13 |          5 |         39 |
| e:\Documents\Programs\Chinese-Chess-v3\Game\Configs\Settings.cs                                        | C#           |          8 |          8 |          1 |         17 |
